run #,datetime,avg_loss,avg_loss_change,total_loss,cost_loss,structure_reg,pred_cost,true_cost,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12
37,2025-08-06 17:18:28,77358520.8049,-2117944.1751,1112582.7500,1112530.5000,496.8658,66068.7266,67123.4944,9.0271,3.0501,-89.4960,6.7596,131.7994,5.3712,0.5116,0.8938,84.9632,179.4261,0.7208,0.8849,0.5073
38,2025-08-06 17:18:29,75938071.7311,-1420449.0738,23381508.0000,23381456.0000,613.8207,65716.8672,60881.4295,12.0482,3.0661,81.0117,-3.7221,136.3616,4.1649,0.5031,1.0805,87.8425,179.8021,0.7718,0.9010,0.4937
39,2025-08-06 17:18:31,77034931.0200,1096859.2889,118715640.0000,118715584.0000,604.1898,65135.8359,54240.1688,9.6203,3.0097,84.7017,-1.2627,123.9893,4.6479,0.5004,0.9964,92.6477,180.9832,0.7550,0.9175,0.5074
40,2025-08-06 17:18:32,75113251.6805,-1921679.3396,167807.9375,167757.4375,552.0612,64288.2422,64697.8259,9.3249,3.0981,-90.8173,4.1155,141.4762,4.8508,0.4863,1.0345,92.5647,175.2945,0.7369,0.9025,0.4897
41,2025-08-06 17:18:34,74271564.4688,-841687.2117,40604128.0000,40604076.0000,620.4298,63201.7422,56829.6096,9.6251,3.0382,91.2593,-2.6745,128.5711,4.0840,0.5182,0.8575,88.7390,176.4532,0.6545,0.9014,0.4937
42,2025-08-06 17:18:35,73469991.9814,-801572.4874,40605568.0000,40605520.0000,594.4276,62235.3086,55863.0607,7.9304,2.9896,76.6222,-0.8233,133.2885,3.9986,0.5052,1.0182,88.3303,177.8489,0.6898,0.8742,0.5161
43,2025-08-06 17:18:36,72092178.3539,-1377813.6275,14224054.0000,14224006.0000,606.8412,61231.4766,57460.0049,11.3949,2.7788,81.7459,-4.8114,130.2145,4.4575,0.5155,1.0784,87.9513,179.1490,0.7624,0.8818,0.5054
44,2025-08-06 17:18:38,72630745.0277,538566.6738,95789160.0000,95789112.0000,646.4939,60246.1836,70033.3773,9.3370,2.9530,97.6142,2.5311,127.5054,6.8095,0.4997,0.9744,89.0818,179.6876,0.7420,0.9128,0.5041
45,2025-08-06 17:18:39,73096567.9382,465822.9105,93592824.0000,93592776.0000,532.4792,59952.3281,69626.6660,9.5222,2.9452,-95.1321,-3.2052,132.2605,5.1369,0.4909,0.9380,87.9871,182.6832,0.7093,0.8980,0.5172
46,2025-08-06 17:18:40,75516241.5048,2419673.5666,184401600.0000,184401552.0000,562.4760,59870.3281,73449.7835,9.5169,2.9404,-93.7015,-4.3897,139.5542,5.5912,0.5105,0.9280,90.5798,180.9082,0.7907,0.8983,0.4936
