run #,datetime,avg_loss,avg_loss_change,total_loss,cost_loss,structure_reg,pred_cost,true_cost,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12
29,2025-08-05 19:49:18,366872929.5817,-12737193.0208,10231531.0000,10231525.0000,6.4050,73927.3047,70104.1552,9.6139,3.0693,-78.2143,-1.5606,140.8911,5.5993,0.4955,1.0737,89.3385,175.4270,0.6598,0.8981,0.5118
30,2025-08-05 19:49:20,362504095.3957,-4368834.1861,235807904.0000,235807904.0000,1.6786,74768.9844,56415.0060,9.7354,3.0673,95.7898,-2.2243,127.1669,5.1290,0.5098,0.9835,84.2913,179.3147,0.6745,0.8882,0.4964
31,2025-08-05 19:49:21,354341697.4797,-8162397.9160,109469768.0000,109469760.0000,4.6683,71255.7812,83761.1947,11.6321,3.0727,-73.1331,2.7940,146.5722,8.5669,0.5179,0.9568,88.4078,180.4075,0.7487,0.8976,0.5087
32,2025-08-05 19:49:23,345311531.9334,-9030165.5462,65376408.0000,65376400.0000,8.7136,67701.5938,77365.6926,10.1549,2.9201,-90.3945,-3.3554,151.2647,5.9639,0.5132,0.9256,94.8202,181.3071,0.7695,0.9034,0.4892
33,2025-08-05 19:49:25,334855966.0434,-10455565.8900,277866.7188,277857.5625,9.1628,70812.2344,71442.2629,9.5143,2.8434,-100.6162,-0.4299,132.5171,5.0912,0.5088,0.9432,86.7855,185.1983,0.7357,0.8893,0.5003
34,2025-08-05 19:49:26,329582945.8656,-5273020.1777,155573280.0000,155573280.0000,1.3920,73098.4609,58190.4907,10.2881,2.9466,101.6840,-1.9868,135.3902,3.7328,0.4994,1.0206,89.5105,177.1937,0.6349,0.8925,0.4861
35,2025-08-05 19:49:28,321032950.4409,-8549995.4247,30333114.0000,30333106.0000,8.4865,77125.5625,70542.7774,9.5985,2.9796,-89.3193,-2.2831,139.0886,5.2411,0.5062,1.2152,89.5595,179.1510,0.7080,0.9003,0.5063
36,2025-08-05 19:49:29,314862522.2620,-6170428.1789,98897544.0000,98897536.0000,7.7655,71267.4062,59381.1870,10.7910,3.1567,-76.1858,-5.9213,135.9845,4.2666,0.5061,0.9739,87.4247,176.9391,0.7111,0.9046,0.5068
37,2025-08-05 19:49:31,306481987.9846,-8380534.2774,4782755.0000,4782754.0000,1.0991,70077.2812,72691.1870,8.5210,2.9250,99.6761,-1.4976,129.3127,6.6707,0.4982,0.9218,90.1792,184.4675,0.7150,0.9166,0.5015
38,2025-08-05 19:49:33,300556574.8272,-5925413.1575,81316296.0000,81316288.0000,8.5114,71304.9766,82083.0133,10.1693,3.0415,-89.5272,-5.3060,135.2405,7.5586,0.4968,0.9621,91.8719,179.3972,0.7283,0.9043,0.5190
39,2025-08-05 19:49:34,296008075.9854,-4548498.8417,123165128.0000,123165120.0000,11.9233,71269.9688,58005.3494,10.0407,3.2757,-112.0513,-3.7281,131.7706,4.7591,0.5089,0.9854,90.9590,182.7144,0.7303,0.8885,0.5033
40,2025-08-05 19:49:36,289670846.0858,-6337229.8996,42518888.0000,42518880.0000,7.8652,72694.9453,64901.2777,10.3458,3.0753,-91.3951,4.4868,137.4791,3.6298,0.5190,1.0552,92.8447,182.4765,0.7484,0.9045,0.5032
41,2025-08-05 19:49:38,282631363.4800,-7039482.6058,1052066.8750,1052059.2500,7.6075,66908.9531,65683.0103,9.3056,3.0312,-78.4240,-1.5054,137.4105,4.9866,0.4843,1.0293,87.9232,177.9485,0.7153,0.9067,0.5006
42,2025-08-05 19:49:39,276195187.8734,-6436175.6067,12311999.0000,12311988.0000,10.6813,63698.6836,67892.5563,10.1980,2.9838,-100.7082,-4.2755,134.1941,4.8623,0.4957,0.8698,88.9192,179.5724,0.7476,0.8950,0.4903
43,2025-08-05 19:49:41,269779288.0449,-6415899.8285,311495.9688,311495.2500,0.7313,61453.5898,60786.5106,11.5436,3.2491,102.8568,-7.0853,127.9692,3.8840,0.5033,1.1992,91.5106,179.0119,0.7061,0.8969,0.5056
44,2025-08-05 19:49:43,265300744.9530,-4478543.0919,72723400.0000,72723392.0000,7.7535,66755.4297,76948.1023,8.4728,2.8578,-97.0303,-3.2808,131.3726,6.0773,0.4942,1.1507,91.8502,181.2270,0.6967,0.8928,0.5034
45,2025-08-05 19:49:44,259907015.8207,-5393729.1323,22582942.0000,22582934.0000,8.9139,66385.1094,72065.0134,9.2814,2.9885,-96.9041,-2.4841,134.0472,5.6652,0.4993,0.8292,91.4603,182.1465,0.7174,0.8813,0.4946
46,2025-08-05 19:49:46,254468036.6942,-5438979.1265,9713981.0000,9713976.0000,5.2256,63806.9961,67532.1926,10.9232,2.9914,-75.1992,-0.5229,133.0773,4.4544,0.5036,0.9324,91.1608,182.3604,0.7297,0.8825,0.4936
47,2025-08-05 19:49:48,249745298.2539,-4722738.4403,32499330.0000,32499330.0000,0.7357,63461.4883,56647.7070,11.7536,2.9214,95.0454,1.2064,135.4336,4.7407,0.5043,0.9257,89.0501,184.3996,0.7109,0.9016,0.5004
