run #,datetime,avg_loss,avg_loss_change,loss,pred_cost,true_cost,rel_error,accuracy_5pct,accuracy_10pct,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12
12,2025-08-05 19:48:07,1205988482.6667,-45983040.2424,700175040.0000,94462.5312,68001.7129,0.3891,0.0,0.0,9.7289,3.0813,-67.2171,3.4324,132.3655,6.1042,0.4886,0.9047,92.8478,181.5986,0.7067,0.8941,0.4974
13,2025-08-05 19:48:08,1268136401.2308,62147918.5641,2013911424.0000,97189.8047,52313.1781,0.8578,0.0,0.0,9.5834,3.1097,88.8569,1.3784,128.2195,4.3733,0.4996,1.0316,88.7097,175.2969,0.7019,0.9097,0.4889
14,2025-08-05 19:48:09,1225866045.7143,-42270355.5165,676351424.0000,91848.0625,65841.3021,0.3950,0.0,0.0,9.7591,3.0129,-76.2261,-5.1517,132.7153,4.7557,0.4950,0.9727,90.8920,181.3536,0.7149,0.9196,0.4826
15,2025-08-05 19:48:11,1177000232.5333,-48865813.1810,492878848.0000,91892.5547,69691.6836,0.3186,0.0,0.0,8.1456,3.1306,94.8164,-0.9878,135.8455,6.5155,0.4946,0.9944,88.2738,176.6417,0.7442,0.9171,0.5072
16,2025-08-05 19:48:12,1123736246.0000,-53263986.5333,324776448.0000,88758.4688,70736.9135,0.2548,0.0,0.0,9.3867,3.1006,-86.8280,-1.0210,135.5212,6.6599,0.5100,0.9191,89.9112,178.6992,0.7710,0.8771,0.5120
17,2025-08-05 19:48:13,1072678382.1176,-51057863.8824,255752560.0000,84569.2578,68576.9914,0.2332,0.0,0.0,9.4630,2.9106,-99.4715,4.5196,137.2168,4.5293,0.4946,0.9031,89.5141,182.0417,0.6760,0.8995,0.4930
18,2025-08-05 19:48:15,1017931917.7778,-54746464.3399,87242024.0000,86718.1172,77377.7714,0.1207,0.0,0.0,11.2710,2.8277,-94.2530,0.6440,143.6226,2.1357,0.5114,0.9991,90.1722,179.6087,0.6452,0.9028,0.5065
19,2025-08-05 19:48:16,1029646106.5263,11714188.7485,1240501504.0000,89278.4688,54057.7148,0.6515,0.0,0.0,9.9905,3.1738,101.0233,-5.5052,138.6215,5.2146,0.5087,0.9919,87.3511,185.3816,0.7316,0.9104,0.5039
20,2025-08-05 19:48:18,1042838591.6000,13192485.0737,1293495808.0000,89569.2969,53604.0939,0.6709,0.0,0.0,9.8282,2.9523,87.9079,-4.2721,134.4982,4.5374,0.4853,1.1779,87.8578,179.1541,0.6828,0.9070,0.5082
21,2025-08-05 19:48:19,1044861945.5238,2023353.9238,1085329024.0000,88845.2344,55900.9006,0.5893,0.0,0.0,9.7200,2.9448,78.7763,-2.6092,121.5787,5.1645,0.4989,1.1011,91.3198,173.2083,0.7739,0.8978,0.5021
22,2025-08-05 19:48:20,1036234847.6364,-8627097.8874,855065792.0000,86700.6562,57459.1478,0.5089,0.0,0.0,9.2644,3.0389,99.6372,-1.7750,126.4283,4.9950,0.4985,0.9981,89.8201,177.5545,0.7526,0.9011,0.5071
23,2025-08-05 19:48:22,1035196012.1739,-1038835.4625,1012341632.0000,87149.6094,55332.2928,0.5750,0.0,0.0,8.8133,3.0829,108.0459,-3.3325,130.5729,4.1419,0.5017,0.9953,90.4423,182.3374,0.7729,0.9011,0.4900
24,2025-08-05 19:48:23,1014714354.3333,-20481657.8406,543636224.0000,86094.2266,62778.2174,0.3714,0.0,0.0,10.0056,2.9466,94.6365,4.3783,134.5254,6.0396,0.5151,0.8563,87.9826,178.0474,0.7016,0.8914,0.4987
25,2025-08-05 19:48:25,977989817.9200,-36724536.4133,96600944.0000,81687.5078,71858.9265,0.1368,0.0,0.0,9.6873,2.8793,-99.0103,1.8296,136.3269,5.0873,0.5155,1.2217,95.2586,177.9853,0.7001,0.8878,0.4947
26,2025-08-05 19:48:26,970325099.3846,-7664718.5354,778707136.0000,85521.5312,57616.2068,0.4843,0.0,0.0,10.9974,3.1848,90.9624,-0.0703,144.4174,4.1269,0.4939,0.9979,92.0642,185.4259,0.6817,0.8810,0.5013
27,2025-08-05 19:48:27,938612259.5556,-31712839.8291,114078424.0000,76423.4844,65742.7354,0.1625,0.0,0.0,10.0343,3.0048,-94.3693,11.1481,136.7379,3.5905,0.4996,1.1114,86.3252,179.5295,0.7516,0.8957,0.5177
28,2025-08-05 19:48:29,906370886.1429,-32241373.4127,35853804.0000,78141.9922,72154.1891,0.0830,0.0,3.6,8.9932,3.0791,-92.2981,2.5291,136.3432,5.1558,0.5066,1.0641,93.4994,181.1769,0.5838,0.9008,0.4904
29,2025-08-05 19:48:30,877675725.3793,-28695160.7635,74211224.0000,78394.3984,69779.8051,0.1235,0.0,3.4,11.4666,2.9320,-90.4139,6.5560,134.7664,3.5823,0.5004,1.0635,89.5754,181.2030,0.6830,0.8922,0.5034
30,2025-08-05 19:48:31,848487383.2875,-29188342.0918,2025462.6250,74397.9609,72974.7703,0.0195,3.3,6.7,8.7407,3.0624,-103.6736,3.0428,137.6007,5.9648,0.5178,0.9982,91.1521,183.5918,0.6621,0.8906,0.4993
31,2025-08-05 19:48:33,839542866.4073,-8944516.8802,571207360.0000,77464.2188,53564.2737,0.4462,3.2,6.5,8.5631,2.8375,98.9207,2.2981,137.7994,4.1427,0.5219,0.9845,92.9655,175.7249,0.7531,0.8987,0.5041
32,2025-08-05 19:48:34,818329886.8320,-21212979.5752,160727520.0000,78668.2656,65990.4269,0.1921,3.1,6.2,7.5049,3.0002,86.5572,-2.2810,135.3573,5.3046,0.5227,1.0447,93.7436,184.1852,0.6780,0.9087,0.5044
33,2025-08-05 19:48:36,807042292.2008,-11287594.6313,445839264.0000,76700.8750,55585.9677,0.3799,3.0,6.1,9.3996,2.8138,93.8626,0.6460,135.0551,5.1318,0.4933,1.1051,94.2096,180.8882,0.7086,0.9052,0.5183
34,2025-08-05 19:48:37,788072559.8419,-18969732.3588,162071392.0000,77054.4453,64323.7193,0.1979,2.9,5.9,9.1010,3.0290,-101.6409,-10.5006,146.7715,3.3635,0.5117,1.0031,91.7243,177.8711,0.7580,0.8955,0.5075
35,2025-08-05 19:48:38,766096026.5893,-21976533.2526,18893896.0000,74529.2031,78875.9131,0.0551,2.9,8.6,9.2688,3.0215,-95.8124,-2.7616,136.8128,6.5175,0.5070,1.1335,90.6110,181.1150,0.6631,0.8964,0.5037
36,2025-08-05 19:48:40,760089755.6285,-6006270.9608,549870272.0000,77982.1484,54532.8359,0.4300,2.8,8.3,10.8741,2.9557,77.3698,-7.5608,131.0042,4.4681,0.5058,0.9244,93.3483,179.8163,0.7911,0.8773,0.5016
37,2025-08-05 19:48:41,746176312.7196,-13913442.9089,245292368.0000,75617.4375,59955.6253,0.2612,2.7,8.1,9.4623,2.9502,84.7701,3.1699,127.8432,5.5103,0.4982,0.9536,84.4908,177.2059,0.6925,0.8979,0.5079
38,2025-08-05 19:48:42,726579401.9671,-19596910.7525,1493704.1250,72765.7969,73987.9681,0.0165,5.3,10.5,9.0518,2.7656,99.8116,-0.3318,126.4997,7.0950,0.5007,0.7206,86.7722,183.4966,0.6741,0.8830,0.5222
39,2025-08-05 19:48:44,714419186.3269,-12160215.6402,252330992.0000,75073.0391,59188.1093,0.2684,5.1,10.3,9.7650,2.8626,81.7025,2.7398,130.6529,5.3654,0.5113,1.0999,91.7226,176.9999,0.8154,0.9035,0.4913
40,2025-08-05 19:48:45,696749762.7812,-17669423.5457,7642244.5000,68456.3047,71220.7623,0.0388,7.5,12.5,9.0079,2.8178,-113.5700,-2.0074,133.1526,4.5572,0.5008,0.9918,91.8153,178.5887,0.8452,0.8938,0.5049
41,2025-08-05 19:48:46,683035951.9817,-13713810.7995,134483520.0000,72638.5781,61041.8747,0.1900,7.3,12.2,8.1035,3.0871,-95.6866,-2.4465,140.0643,4.2109,0.5142,0.9618,88.3297,182.1992,0.7665,0.8921,0.4905
42,2025-08-05 19:48:48,666793601.8036,-16242350.1781,857244.5000,65239.8047,64313.9295,0.0144,9.5,14.3,8.5661,3.0343,98.2230,0.2115,134.8604,5.6129,0.5063,1.0173,92.9880,173.0055,0.7572,0.9046,0.5061
43,2025-08-05 19:48:49,651606661.6221,-15186940.1815,13755174.0000,73816.1875,70107.3923,0.0529,9.3,16.3,9.5449,2.8027,85.1700,2.4482,138.1187,6.4573,0.5086,0.8366,87.0288,177.2430,0.6959,0.9051,0.4854
44,2025-08-05 19:48:50,637271535.8580,-14335125.7641,20861128.0000,74344.8906,69777.4907,0.0655,9.1,18.2,9.1768,2.8325,-70.5988,3.7434,132.8676,5.3911,0.4974,1.0729,93.7851,181.5302,0.7242,0.9027,0.4855
45,2025-08-05 19:48:52,623343872.3722,-13927663.4857,10526679.0000,71367.5781,68123.0938,0.0476,11.1,20.0,9.8442,2.9096,-89.2592,-3.5206,135.1275,3.5791,0.4985,0.9606,86.7527,182.0738,0.6757,0.9062,0.4896
46,2025-08-05 19:48:53,612221720.7120,-11122151.6603,111724896.0000,71991.4219,61421.4223,0.1721,10.9,19.6,9.8054,3.1974,-94.7742,2.4395,133.2982,3.7666,0.4892,1.2351,89.8295,183.4008,0.6487,0.8831,0.4798
47,2025-08-05 19:48:54,599371840.5691,-12849880.1428,8277354.0000,68116.8906,70993.9304,0.0405,12.8,21.3,10.0453,2.9459,-98.6389,-2.6779,123.9683,5.5930,0.5065,1.0135,92.0889,178.4030,0.7515,0.8818,0.5173
48,2025-08-05 19:48:56,591244215.2240,-8127625.3452,209245824.0000,69962.6641,55497.3335,0.2606,12.5,20.8,10.5950,3.0334,82.8561,-2.2883,129.2125,4.5349,0.5022,1.2392,88.5946,181.9604,0.7042,0.9069,0.5095
49,2025-08-05 19:48:57,579303116.5969,-11941098.6270,6130382.5000,70901.5469,73377.5069,0.0337,14.3,22.4,11.6493,2.9522,-94.4968,-2.7372,138.7906,5.4813,0.5018,0.9125,91.5034,180.2292,0.6956,0.8904,0.5021
50,2025-08-05 19:48:58,567728835.3900,-11574281.2069,589056.2500,66125.5547,66893.0518,0.0115,16.0,24.0,9.6441,2.9518,-110.1147,-3.8640,136.1275,4.2409,0.4959,0.7588,88.1282,180.8822,0.7002,0.9014,0.4989
51,2025-08-05 19:49:00,558501874.3824,-9226961.0076,97153824.0000,70929.4375,61072.7743,0.1614,15.7,23.5,10.2777,3.1026,-96.5664,2.9553,148.1366,3.9379,0.5063,1.0517,91.6651,181.5700,0.7252,0.8865,0.4968
52,2025-08-05 19:49:01,547796829.5144,-10705044.8679,1839541.2500,64093.4023,65449.6998,0.0207,17.3,25.0,9.6668,3.1294,113.8185,5.6886,129.3022,2.9101,0.5065,0.8282,85.3508,180.1243,0.6098,0.8845,0.4952
53,2025-08-05 19:49:02,537578630.4292,-10218199.0852,6232278.0000,67125.7891,69622.2442,0.0359,18.9,26.4,9.5684,3.0176,68.2674,0.9428,124.3325,6.8793,0.5160,1.0034,89.5640,172.3816,0.6553,0.8900,0.4945
54,2025-08-05 19:49:04,529451100.9769,-8127529.4524,98692040.0000,64971.1328,55036.7463,0.1805,18.5,25.9,10.6410,3.1136,90.3867,-7.3137,130.8363,4.2379,0.4943,1.2265,94.4038,182.9475,0.6638,0.9031,0.4917
55,2025-08-05 19:49:05,519826037.4899,-9625063.4869,72609.1953,70834.8047,71104.2628,0.0038,20.0,27.3,11.3085,2.8986,-82.5274,-0.7491,137.2750,4.5913,0.4929,0.8263,89.1762,178.3763,0.6481,0.8904,0.4998
56,2025-08-05 19:49:06,510682489.8562,-9143547.6337,7787370.0000,66935.0547,64144.4706,0.0435,21.4,28.6,10.4998,3.0574,96.0765,3.4854,132.8406,6.3945,0.4929,1.1187,87.9217,182.1157,0.7554,0.8900,0.5079
57,2025-08-05 19:49:08,502308670.1745,-8373819.6817,33374768.0000,65528.6211,71305.7098,0.0810,21.1,29.8,9.3830,3.0287,-99.9915,1.3655,138.4334,5.6971,0.5040,0.8979,88.3899,180.3356,0.7757,0.8879,0.4999
58,2025-08-05 19:49:09,494042431.2749,-8266238.8996,22866814.0000,64863.7734,60081.8463,0.0796,20.7,31.0,9.5250,2.8852,90.5774,0.4168,133.7386,5.5130,0.5084,0.9566,89.3590,175.7720,0.6706,0.8979,0.5022
59,2025-08-05 19:49:10,489544922.4059,-4497508.8691,228689408.0000,69066.7344,53944.2544,0.2803,20.3,30.5,9.7276,2.9622,82.1013,-6.2453,134.8697,4.5154,0.5097,0.9760,84.9813,180.8883,0.6610,0.9084,0.4885
60,2025-08-05 19:49:12,481395376.0095,-8149546.3963,572138.6250,63029.0391,63785.4367,0.0119,21.7,31.7,11.4177,2.8539,103.3932,2.4265,133.1681,6.5776,0.4806,1.0918,92.4159,176.9986,0.7264,0.9034,0.4946
61,2025-08-05 19:49:13,478743292.3372,-2652083.6723,319618272.0000,64483.5195,82361.3872,0.2171,21.3,31.1,10.7394,3.0613,-100.3038,0.5844,132.6160,7.0768,0.4926,1.0568,86.3205,186.7062,0.5714,0.8892,0.5208
62,2025-08-05 19:49:14,471059834.8761,-7683457.4611,2368929.7500,59763.0977,58223.9658,0.0264,22.6,32.3,11.7781,3.2710,115.4831,0.5452,134.8089,5.7194,0.5027,1.0402,92.7014,179.2827,0.6987,0.8948,0.4938
63,2025-08-05 19:49:16,464383761.3702,-6676073.5060,50467204.0000,62630.8008,69734.8272,0.1019,22.2,31.7,10.6252,2.8994,112.1472,-3.2724,134.1160,7.6282,0.5064,1.0089,89.7540,184.4688,0.6654,0.9065,0.4875
64,2025-08-05 19:49:17,460366963.5988,-4016797.7714,207308704.0000,64682.5156,79080.7305,0.1821,21.9,31.2,11.3292,2.9004,96.2174,1.0828,139.2436,7.9498,0.4998,1.0427,95.5024,183.0877,0.6765,0.8816,0.5014
65,2025-08-05 19:49:18,454241492.8357,-6125470.7631,62211364.0000,62456.0000,54568.5826,0.1445,21.5,30.8,9.2073,3.1224,97.7911,7.1306,141.6803,5.0789,0.5093,1.0722,85.8570,178.8688,0.7637,0.9153,0.5032
66,2025-08-05 19:49:20,447408501.6942,-6832991.1414,3264077.5000,62231.7969,60425.1210,0.0299,22.7,31.8,11.3840,3.0780,85.4969,3.6042,130.6863,5.3728,0.4961,1.0945,91.0062,173.4997,0.6561,0.9158,0.4873
67,2025-08-05 19:49:21,441900370.5048,-5508131.1895,78363712.0000,64394.7891,55542.4594,0.1594,22.4,31.3,10.8168,3.0010,84.8369,0.2547,129.0982,4.4262,0.5063,0.9783,92.7424,176.6665,0.7127,0.9007,0.4917
68,2025-08-05 19:49:22,435655422.4974,-6244948.0074,17243906.0000,63798.6172,59646.0403,0.0696,22.1,32.4,8.8329,2.9128,97.8446,4.5945,137.7926,3.3374,0.4936,1.0166,88.1503,178.9852,0.6756,0.9032,0.5107
69,2025-08-05 19:49:24,429937642.0554,-5717780.4420,41128572.0000,69527.8125,75940.9717,0.0844,21.7,33.3,10.3947,3.0459,-82.5543,-1.3634,135.2150,6.8631,0.4947,1.2630,91.6380,180.6927,0.7052,0.9009,0.4948
70,2025-08-05 19:49:25,423802863.2291,-6134778.8262,503124.2188,64717.6133,64008.3010,0.0111,22.9,34.3,10.8103,2.9840,102.4982,5.7972,140.6885,6.5124,0.4877,1.0080,85.4142,183.0032,0.6851,0.8953,0.4956
71,2025-08-05 19:49:27,417902367.1625,-5900496.0666,4867642.5000,66580.1172,64373.8421,0.0343,23.9,35.2,10.7909,3.1694,-97.1340,1.1052,135.3989,4.6154,0.4817,0.9250,86.6975,179.8690,0.6017,0.9010,0.5063
72,2025-08-05 19:49:28,421998699.1742,4096332.0116,712838272.0000,62477.2344,89176.2660,0.2994,23.6,34.7,9.4632,2.9491,103.5781,2.8693,138.4350,8.3909,0.4944,0.9437,94.3922,183.0233,0.5601,0.8993,0.5078
73,2025-08-05 19:49:29,416220232.6985,-5778466.4756,170646.4531,67915.0859,67501.9950,0.0061,24.7,35.6,8.9558,2.9632,-81.2655,-3.3544,130.1664,3.2196,0.5039,1.1558,95.2865,177.1295,0.6900,0.9090,0.5116
74,2025-08-05 19:49:30,410702380.2567,-5517852.4419,7899152.0000,64642.3945,61831.8529,0.0455,25.7,36.5,10.4888,2.9287,89.4301,-2.1488,133.9639,5.9616,0.4906,1.0166,90.0093,178.3298,0.7400,0.9038,0.4892
75,2025-08-05 19:49:32,405538515.4266,-5163864.8301,23412518.0000,65972.0859,70810.7305,0.0683,25.3,37.3,10.5939,3.0016,-98.6085,1.6194,138.5835,2.4104,0.5089,0.8642,92.4592,184.4925,0.7396,0.9113,0.5072
76,2025-08-05 19:49:33,400241984.5032,-5296530.9234,3002165.2500,64850.0703,63117.3928,0.0275,26.3,38.2,10.9512,2.9468,71.0376,-1.8664,128.5695,3.1913,0.4849,0.8363,88.6189,176.5764,0.6824,0.9102,0.5105
77,2025-08-05 19:49:35,395059643.0876,-5182341.4156,1201695.5000,64749.6445,63653.4259,0.0172,27.3,39.0,10.1298,3.0837,84.5413,-0.0387,136.1368,6.0739,0.5182,1.0567,90.7590,177.3548,0.7003,0.8843,0.4928
78,2025-08-05 19:49:36,390092499.6185,-4967143.4691,7622452.5000,65402.0430,68162.9234,0.0405,28.2,39.7,9.7685,3.0543,-103.7301,1.1873,136.8113,2.7739,0.5008,0.8168,88.8155,177.5821,0.6775,0.8885,0.4835
79,2025-08-05 19:49:37,385569023.4967,-4523476.1218,32737886.0000,65937.0703,71658.7769,0.0798,27.8,40.5,10.6722,2.9335,-103.1197,4.7401,134.9014,5.4940,0.5036,1.0426,94.6081,184.6264,0.7385,0.8870,0.4825
80,2025-08-05 19:49:39,380805734.8905,-4763288.6062,4505935.0000,64509.6406,66632.3623,0.0319,28.8,41.2,9.1911,3.0207,-93.6197,5.4443,124.4150,4.8467,0.5106,1.1667,96.3852,175.5286,0.6623,0.9100,0.4876
81,2025-08-05 19:49:40,376134119.6234,-4671615.2672,2404898.2500,69427.6484,70978.4252,0.0218,29.6,42.0,10.2546,2.8378,-88.0583,-4.5530,132.6417,4.7967,0.5052,0.8762,88.1626,182.6822,0.6695,0.8965,0.4993
82,2025-08-05 19:49:41,372400367.3353,-3733752.2881,69966432.0000,72725.1641,64360.5704,0.1300,29.3,41.5,8.4326,3.0569,-69.4383,-1.2708,134.5681,4.1473,0.4869,0.9755,87.3973,184.1533,0.6401,0.9039,0.4945
83,2025-08-05 19:49:43,367930141.0857,-4470226.2495,1371588.6250,70048.8906,68877.7398,0.0170,30.1,42.2,9.7803,2.9051,-81.0309,-1.8502,135.7267,4.3525,0.5020,0.9329,95.3682,178.2485,0.6649,0.9011,0.5243
84,2025-08-05 19:49:44,363626436.2990,-4303704.7867,6418939.0000,67930.4453,70464.0083,0.0360,31.0,42.9,8.7515,2.8136,-87.4236,2.4305,134.0452,4.9763,0.5022,1.0651,88.9227,182.4270,0.7829,0.8967,0.5089
85,2025-08-05 19:49:45,359366250.3778,-4260185.9212,1510633.0000,67772.5078,69001.5854,0.0178,31.8,43.5,9.7166,3.0112,-102.3221,-2.0181,133.7459,5.2578,0.5054,1.1663,90.5721,175.6504,0.6856,0.8903,0.5139
86,2025-08-05 19:49:47,355575045.3037,-3791205.0742,33322614.0000,69972.6875,64200.1139,0.0899,31.4,44.2,10.8621,3.1745,-96.4819,-3.5303,136.6314,5.4552,0.5033,1.0210,87.8692,185.0377,0.6393,0.8926,0.5020
87,2025-08-05 19:49:48,352678207.8174,-2896837.4862,103550184.0000,67214.9531,77390.9135,0.1315,31.0,43.7,10.0422,2.9876,-86.4701,5.3383,129.7165,5.3928,0.4837,0.9545,87.5732,176.5653,0.5419,0.8967,0.5166
88,2025-08-05 19:49:49,349521865.8195,-3156341.9979,74920112.0000,67237.3281,75892.9700,0.1141,30.7,43.2,9.1347,2.9122,-92.9014,4.9902,139.4237,5.7654,0.5002,0.8304,90.3502,180.1536,0.6676,0.8802,0.5232
89,2025-08-05 19:49:50,346165159.1923,-3356706.6272,50774976.0000,65729.8516,72855.5080,0.0978,30.3,43.8,11.3092,2.6991,-95.1427,5.0760,133.6710,3.1992,0.5019,0.8936,93.3948,175.8124,0.7864,0.9054,0.5103
90,2025-08-05 19:49:52,342600203.8235,-3564955.3688,25319176.0000,69042.0547,64010.2397,0.0786,30.0,44.4,8.6513,3.0802,-74.4254,2.6300,132.8085,5.2573,0.5212,0.8158,87.4249,180.0160,0.7072,0.8925,0.4747
91,2025-08-05 19:49:53,338883452.4244,-3716751.3992,4375826.5000,65181.9180,63090.0716,0.0332,30.8,45.1,9.6117,2.8719,97.0769,4.1706,138.0869,6.0388,0.5001,0.8768,90.5877,181.9093,0.7354,0.8988,0.5205
92,2025-08-05 19:49:55,335937502.1154,-2945950.3090,67856024.0000,65237.3906,56999.9144,0.1445,30.4,44.6,11.0330,2.9152,82.7548,-1.2021,137.1858,3.9542,0.4908,1.0659,92.5149,180.7720,0.6613,0.9021,0.5191
93,2025-08-05 19:49:56,332532667.4690,-3404834.6464,19287880.0000,66654.9062,71046.7039,0.0618,30.1,45.2,8.9424,3.0903,-93.5530,0.1376,131.9225,5.8824,0.5000,0.9950,86.2749,174.0751,0.6674,0.9087,0.4940
94,2025-08-05 19:49:57,329011772.1941,-3520895.2749,1568511.6250,64233.7500,62981.3474,0.0199,30.9,45.7,11.8386,3.0744,92.6670,2.7084,134.5675,3.7322,0.5104,1.1104,87.6175,183.6633,0.6996,0.9136,0.4942
95,2025-08-05 19:49:59,325643148.7815,-3368623.4126,8992548.0000,71568.2891,68569.5327,0.0437,31.6,46.3,10.6297,3.0682,-92.1980,-3.7121,128.7326,5.2457,0.5088,0.9879,89.6028,183.1735,0.6454,0.8914,0.5186
96,2025-08-05 19:50:00,322569256.1484,-3073892.6331,30549456.0000,70279.4531,75806.6092,0.0729,31.2,46.9,9.5752,3.1037,-89.4955,-5.2473,134.4989,7.1075,0.4999,0.8599,88.6538,179.9323,0.6738,0.9005,0.5113
97,2025-08-05 19:50:01,319399303.7963,-3169952.3520,15083878.0000,73864.0938,69980.2934,0.0555,30.9,47.4,10.3471,3.0001,-82.8679,-7.1008,136.7942,5.4759,0.4921,0.8128,88.3004,177.8489,0.7090,0.9007,0.5038
98,2025-08-05 19:50:03,316972252.1249,-2427051.6714,81548240.0000,62216.3438,53185.9382,0.1698,30.6,46.9,10.2433,2.9980,98.2946,3.7984,140.2863,4.9131,0.4935,1.1643,89.7231,175.9220,0.7653,0.8927,0.4991
99,2025-08-05 19:50:04,313804263.5580,-3167988.5669,3341384.0000,69312.1875,67484.2383,0.0271,31.3,47.5,9.8217,3.0448,-93.5026,-2.7147,126.2957,5.2398,0.5124,1.0041,85.4228,177.8938,0.6639,0.8954,0.4903
100,2025-08-05 19:50:05,310720913.3224,-3083350.2356,5469240.0000,69024.6094,66685.9696,0.0351,32.0,48.0,10.5748,3.0101,-98.1203,0.9012,135.1340,4.2395,0.4903,0.8699,88.1546,177.4813,0.7065,0.8995,0.5004
101,2025-08-05 19:50:07,308174814.7747,-2546098.5477,53564960.0000,65745.3906,58426.5831,0.1253,31.7,47.5,9.2098,2.9901,96.2703,1.5479,140.3483,3.4221,0.4972,1.0464,86.5818,183.6822,0.8141,0.8989,0.5006
102,2025-08-05 19:50:08,305173911.2462,-3000903.5284,2082654.8750,69579.7812,71022.9237,0.0203,32.4,48.0,8.5787,3.0472,-97.1875,-6.1681,137.6675,5.1803,0.4901,0.8727,89.8684,178.1816,0.6000,0.8913,0.5011
103,2025-08-05 19:50:09,303299756.1468,-1874155.0995,112135936.0000,69260.5625,58671.1369,0.1805,32.0,47.6,9.7551,3.0067,77.5548,2.8322,136.7288,5.4102,0.5140,1.0342,88.5499,182.8744,0.7387,0.8894,0.5111
104,2025-08-05 19:50:11,300482971.6261,-2816784.5206,10354166.0000,71734.0234,68516.2336,0.0470,32.7,48.1,11.4626,3.1721,-88.4940,-5.8018,134.8281,6.1985,0.4941,1.1279,88.0894,181.5842,0.6309,0.9152,0.5158
105,2025-08-05 19:50:12,297641575.2083,-2841396.4179,2136347.7500,70377.7656,68916.1417,0.0212,33.3,48.6,10.7315,3.0302,-92.4083,8.0524,136.5413,4.1085,0.4946,1.0141,97.2092,173.2258,0.6620,0.8968,0.4929
106,2025-08-05 19:50:13,296512533.0270,-1129042.1812,177963104.0000,68625.3047,55285.0235,0.2413,33.0,48.1,9.9543,2.8236,73.7211,-1.4333,135.8314,5.3135,0.4963,0.8715,86.3738,177.4723,0.7354,0.9090,0.4879
107,2025-08-05 19:50:15,293963334.9427,-2549198.0844,23748338.0000,61987.8203,57114.5949,0.0853,32.7,48.6,10.4328,3.0289,95.5279,-2.3318,126.5417,4.0389,0.5081,0.8111,90.5220,184.2051,0.7595,0.8967,0.5190
